question,answer
what are the treatments for hiatal hernia?,"Antacids, Medications to reduce acid production, Surgery (in severe cases)"
what are the symptoms of peripheral artery disease (pad)?,"Painful cramping in hip, thigh or calf muscles after certain activities, such as walking or climbing stairs, Leg numbness or weakness, Coldness in your lower leg or foot, especially when compared with the other side, Sores on your toes, feet or legs that won't heal, A change in the color of your legs, Hair loss or slower hair growth on your feet and legs, Slower growth of toenails, Shiny skin on your legs, No pulse or a weak pulse in your legs or feet, Erectile dysfunction, especially in men with diabetes"
what are the symptoms of helminthiasis?,"abdominal pain, diarrhea, nausea, vomiting, fever, fatigue, weight loss"
what are the symptoms of menopause?,"Irregular periods, Hot flashes, Night sweats, Sleep problems, Mood changes, Weight gain and slowed metabolism, Thinning hair and dry skin, Loss of breast fullness, Vaginal dryness, Decreased sex drive, Pain during sex, Urinary incontinence, Increased urination or urgency"
what are the symptoms of gastroesophageal reflux disease?,"Heartburn, Regurgitation, Difficulty swallowing, Chest pain"
what are the symptoms of pulmonary fibrosis?,"Shortness of breath, Dry cough, Fatigue, Unexplained weight loss, Muscle and joint pain"
what are the symptoms of rabies?,"Fever, Headache, Muscle weakness, Seizures, Excessive salivation, Paralysis"
what are the symptoms of huntington's disease?,"Difficulty concentrating and remembering things, Depression and anxiety, Uncontrolled movements (chorea), Difficulty with coordination and balance, Difficulty with speech and swallowing"
what is urinary tract infection (uti)?,"Urinary tract infection (UTI) is an infection in any part of the urinary system, including the kidneys, bladder, and urethra."
what are the symptoms of blood clotting disorders?,"Abnormal bleeding, Bruising, Blood in urine or stool, Swelling, Pain, Redness, Warmth in the affected area"
what is sleep apnea?,Sleep apnea is a sleep disorder characterized by pauses in breathing or shallow breaths during sleep. The condition can lead to poor sleep quality and excessive daytime sleepiness.
what are the symptoms of pneumonia?,"Cough (with phlegm or without), Fever, Chills, Shortness of breath, Rapid breathing, Chest pain, Fatigue, Muscle aches, Nausea or vomiting"
what are the treatments for stomach cancer?,"Surgery, Radiation therapy, Chemotherapy, Targeted therapy"
what is enterovirus infection?,Enterovirus infection is a viral illness that can cause a range of symptoms from mild to severe.
what are the treatments for pancreatic cancer?,"Surgery, Radiation therapy, Chemotherapy, Targeted therapy"
what is hodgkin's lymphoma?,"Hodgkin's lymphoma is a cancer of the lymphatic system, which is part of the body's immune system."
what are the symptoms of paget's disease of bone?,"Bone pain, Joint pain, Headaches, Hearing loss, Numbness or tingling, Enlarged bones, Bone deformities"
what are the symptoms of toxoplasmosis?,"Flu-like symptoms (such as fever, fatigue, body aches), Swollen lymph nodes, Muscle aches and pains, Headache, Sore throat, Skin rash, Inflammation of the lungs, heart, or eyes (in severe cases)"
what are the treatments for listeriosis?,"Antibiotics, Supportive care"
what are the treatments for rectal cancer?,"Surgery, Radiation therapy, Chemotherapy, Targeted therapy"
what are the symptoms of interstitial cystitis?,"Pelvic pain, Frequent urination, Urgency to urinate, Painful urination, Pain during sexual intercourse"
what are the treatments for greeting?,"Hey :-), Hello, thanks for visiting, Hi there!"
what are the symptoms of candidiasis?,"Redness, Itching, Burning, Swelling, White patches on the tongue or inside the mouth, Pain during sex, Discharge"
what are the symptoms of menopause?,"Irregular periods, Hot flashes, Night sweats, Sleep problems, Mood changes, Weight gain and slowed metabolism, Thinning hair and dry skin, Loss of breast fullness, Vaginal dryness, Decreased sex drive, Pain during sex, Urinary incontinence, Increased urination or urgency"
what are the symptoms of gastritis?,"Abdominal pain, Nausea, Vomiting"
what are the symptoms of juvenile idiopathic arthritis?,"Joint pain and swelling, Stiffness, especially in the morning, Limping, High fever, Eye inflammation, Rash"
what are the treatments for muscular dystrophy?,"Physical therapy, Respiratory therapy, Orthopedic devices (e.g., braces, wheelchairs), Medications to improve muscle strength or delay progression of the disease"
what are the symptoms of avian influenza?,"Fever, Cough, Sore throat, Muscle aches, Fatigue, Headache, Difficulty breathing, Pneumonia, Acute respiratory distress syndrome, Multi-organ failure"
what are the symptoms of botulism?,"Double vision, Blurred vision, Drooping eyelids, Slurred speech, Difficulty swallowing, Dry mouth, Muscle weakness, Paralysis, Respiratory failure"
what are the treatments for bronchitis?,"Rest and hydration, Over-the-counter cough medicine, Inhaled bronchodilators, Corticosteroids, Antibiotics (if bacterial)"
what are the symptoms of depression?,"Persistent feelings of sadness, anxiety, or emptiness, Loss of interest in activities that were once enjoyable, Difficulty sleeping or oversleeping, Changes in appetite or weight, Fatigue, Difficulty concentrating or making decisions"
what are the treatments for lyme disease?,"Antibiotics, Pain relievers"
what are the treatments for amyotrophic lateral sclerosis (als)?,"Medications to manage symptoms, Physical therapy and occupational therapy, Assistive devices to help with mobility and communication"
what are the symptoms of hemorrhoids?,"Bleeding, Pain or discomfort, Itching"
what are the symptoms of aids?,"Fever, Fatigue, Swollen lymph nodes, Rapid weight loss, Frequent infections, Skin rashes, Night sweats, Chronic diarrhea, Persistent cough, Memory loss, Depression, Neurological disorders"
what are the treatments for rheumatic fever?,"Antibiotics, Anti-inflammatory medication, Bed rest"
what are the treatments for nonalcoholic fatty liver disease (nafld)?,"Lifestyle changes such as weight loss, exercise, and a healthy diet, Control of underlying conditions such as diabetes and high cholesterol, Medications such as vitamin E, pioglitazone, and ursodeoxycholic acid"
what is about_you?,
what are the symptoms of leprosy?,"Skin lesions, Numbness or lack of sensation, Muscle weakness, Eye problems, Nosebleeds"
what are the symptoms of aortic valve regurgitation?,"Shortness of breath, Fatigue, Swollen ankles or feet"
what are the symptoms of respiratory syncytial virus infection?,"Runny or stuffy nose, Cough, Fever, Wheezing, Difficulty breathing"
what are the symptoms of celiac disease?,"Abdominal pain and bloating, Diarrhea or constipation, Fatigue, Weight loss, Iron-deficiency anemia"
what are the symptoms of giardiasis?,"diarrhea, abdominal cramps, bloating, nausea, fatigue, loss of appetite, weight loss"
what are the symptoms of sickle cell disease?,"Anemia, Episodes of pain, Jaundice, Swelling of hands and feet"
what are the symptoms of anxiety disorders?,"Excessive worrying, Feeling restless or on edge, Irritability, Difficulty concentrating, Muscle tension, Sleep problems, Panic attacks"
what are the treatments for sars (severe acute respiratory syndrome)?,"Antiviral medications (in some cases), Corticosteroids (to reduce inflammation), Oxygen therapy"
what are the treatments for ulcerative colitis?,"Anti-inflammatory medications, Immunosuppressive medications, Biologic therapy, Surgery"
what are the symptoms of ehrlichiosis?,"Fever, Headache, Muscle aches, Fatigue, Nausea, Vomiting, Diarrhea, Cough, Joint pain, Confusion"
what are the symptoms of candidiasis?,"Redness, Itching, Burning, Swelling, White patches on the tongue or inside the mouth, Pain during sex, Discharge"
what are the treatments for myasthenia gravis?,"Medications that suppress the immune system, Medications that improve nerve function or increase muscle strength, Plasmapheresis (a procedure that removes harmful antibodies from the blood), Thymectomy (surgical removal of the thymus gland, which plays a role in the immune system)"
what are the symptoms of nasal polyps?,"Stuffy or runny nose, Postnasal drip, Decreased sense of smell, Facial pain or pressure, Snoring"
what are the symptoms of hypothyroidism?,"Fatigue, Weight gain, Cold intolerance, Dry skin, Hair loss, Constipation, Depression, Muscle weakness, Joint pain"
what are the symptoms of high blood pressure (hypertension)?,"Headaches, Shortness of breath, Nosebleeds, Flushed face, Dizziness, Chest pain, Visual changes"
what is lyme disease?,"Lyme disease is an infection caused by the bacterium Borrelia burgdorferi. It is transmitted to humans through the bite of infected blacklegged ticks. The symptoms of Lyme disease can vary widely, from mild flu-like symptoms to severe disease involving the heart, joints, and nervous system."
what are the symptoms of otitis media?,"Ear pain, Fever, Drainage from the ear, Difficulty hearing, Irritability"
what are the symptoms of kidney stones?,"Severe pain in the side and back, below the ribs, Pain that radiates to the lower abdomen and groin, Painful urination, Pink, red or brown urine, Nausea and vomiting"
what are the treatments for japanese encephalitis?,"Supportive care, Antiviral medication, Preventive vaccination"
what are the symptoms of chronic kidney disease?,"Fatigue, Weakness, Loss of appetite, Swelling in the legs, Difficulty sleeping, Changes in urination (e.g., frequency, color, or smell)"
what are the symptoms of heart failure?,"Shortness of breath, Fatigue, Swelling in the legs, ankles, or feet, Coughing or wheezing, Rapid or irregular heartbeat"
what are the treatments for primary sclerosing cholangitis?,"Ursodeoxycholic acid, Endoscopic therapy, Liver transplantation"
what are the treatments for hantavirus pulmonary syndrome?,"Hospitalization, Oxygen therapy, Fluid replacement therapy"
what are the treatments for tendinitis?,"Rest, Ice, Compression, Elevation, Physical therapy, Medications, Surgery"
what is hepatitis a?,Hepatitis A is a highly contagious liver infection caused by the hepatitis A virus.
what are the treatments for impetigo?,"Antibiotic ointments or creams, Oral antibiotics, Keeping the affected area clean and covered"
what are the symptoms of congestive heart failure?,"Shortness of breath, Fatigue, Swelling in the legs, ankles, or feet, Rapid or irregular heartbeat, Chest pain, Persistent cough or wheezing, Lack of appetite, Confusion or impaired thinking"
what are the treatments for peptic ulcer disease?,"Antibiotics to kill H. pylori bacteria, Proton pump inhibitors to reduce stomach acid, Antacids to neutralize stomach acid, H2 blockers to reduce acid production, Lifestyle changes (e.g., avoiding alcohol and spicy foods)"
what are the treatments for pulmonary embolism?,"Blood thinners, Clot-dissolving medications, Surgery"
what are the symptoms of cirrhosis?,"Fatigue and weakness, Loss of appetite and weight loss, Nausea and vomiting, Abdominal swelling and pain, Jaundice (yellowing of the skin and eyes)"
what is encephalitis?,"Encephalitis is inflammation of the brain, usually caused by a viral infection."
what are the symptoms of angina pectoris?,"Chest pain or discomfort, Pain or discomfort in the arms, neck, jaw, shoulder or back, Shortness of breath"
what are the treatments for rosacea?,"Topical creams and gels, Oral antibiotics, Laser therapy"
what are the symptoms of stomach cancer?,"Abdominal pain or discomfort, Nausea or vomiting, Loss of appetite, Unintended weight loss, Feeling full after eating small amounts of food"
what are the symptoms of gallbladder cancer?,"Abdominal pain, Jaundice, Nausea and vomiting, Loss of appetite, Weight loss"
what are the treatments for about_you?,"I'm Pulse, a symptom checker and healthcare assistant. I'm here to help you identify and better understand your symptoms, and provide you with personalized guidance on next steps."
what are the symptoms of leptospirosis?,"Fever, Headache, Muscle aches, Vomiting, Jaundice, Red eyes, Abdominal pain, Diarrhea, Rash, Chills"
what is mycoplasma pneumonia?,Mycoplasma pneumonia is a type of bacterial pneumonia that affects the respiratory system.
what are the treatments for varicose veins?,"Compression stockings, Sclerotherapy, Laser treatment, Endovenous ablation therapy, Surgery"
what are the symptoms of obesity?,"Increased body weight, Difficulty moving, Shortness of breath, Fatigue, Joint pain, Sleep apnea, High blood pressure, Type 2 diabetes, Heart disease, Stroke"
what is cerebral aneurysm?,"A cerebral aneurysm is a weakened, bulging area in the wall of an artery in the brain that can rupture and cause bleeding in the brain."
what are the treatments for polycystic ovary syndrome?,"Birth control pills to regulate periods and decrease androgen levels, Anti-androgen medications to reduce excess hair growth and acne, Metformin to improve insulin resistance and regulate menstrual cycles, Fertility treatments (e.g., in vitro fertilization) for those trying to conceive"
what are the symptoms of dengue fever?,"High fever, Severe headache, Joint and muscle pain, Nausea and vomiting, Rash, Pain behind the eyes, Fatigue"
what are the symptoms of trachoma?,"Irritation and redness of the eyes, Swelling of the eyelids, Discharge from the eyes, Sensitivity to light, Blurred vision, Formation of small bumps on the inner surface of the eyelids (in severe cases)"
what are the treatments for monkeypox?,"Supportive care, Antiviral medications"
what are the treatments for peptic ulcer disease?,"Antibiotics to kill H. pylori bacteria, Proton pump inhibitors to reduce stomach acid, Antacids to neutralize stomach acid, H2 blockers to reduce acid production, Lifestyle changes (e.g., avoiding alcohol and spicy foods)"
what are the symptoms of mycoplasma pneumonia?,"Fever, Cough, Sore throat, Headache, Fatigue, Muscle aches, Shortness of breath"
what is nasal polyps?,Nasal polyps are noncancerous growths that develop in the lining of the nose or sinuses.
what is emphysema?,"Emphysema is a lung disease that damages the air sacs in the lungs. This damage makes it harder to breathe and can lead to shortness of breath, coughing, and wheezing."
what is bronchitis?,"Bronchitis is an inflammation of the lining of the bronchial tubes, which carry air to and from the lungs."
what is thyroid disease?,Thyroid disease is a common problem that can cause symptoms due to over- or under-function of the thyroid gland.
what are the treatments for sarcoidosis?,"Corticosteroids, Immunosuppressive medications, Biologic agents"
what are the treatments for sleep apnea?,"Continuous Positive Airway Pressure (CPAP) therapy, Oral appliances, Surgery, Lifestyle changes (e.g. weight loss, quitting smoking, avoiding alcohol and sedatives)"
what are the symptoms of bronchitis?,"Persistent cough, Mucus production, Wheezing, Shortness of breath, Chest discomfort"
what are the treatments for myasthenia gravis?,"Medications that suppress the immune system, Medications that improve nerve function or increase muscle strength, Plasmapheresis (a procedure that removes harmful antibodies from the blood), Thymectomy (surgical removal of the thymus gland, which plays a role in the immune system)"
what are the symptoms of peripheral arterial disease?,"Leg pain, Numbness or weakness in legs, Coldness in lower leg or foot, Sores on toes, feet or legs that won't heal, Change in color of legs"
what is glomerulonephritis?,"Glomerulonephritis is a type of kidney disease in which the tiny filters in the kidneys become inflamed and damaged, leading to kidney failure."
what is atherosclerosis?,"Atherosclerosis is a condition where plaque builds up inside the arteries, making them narrower and restricting blood flow."
what are the symptoms of tuberculosis?,"Coughing (with or without blood), Chest pain, Fatigue, Fever, Night sweats, Loss of appetite, Weight loss, Shortness of breath (in severe cases)"
what are the symptoms of cholera?,"Profuse watery diarrhea, Vomiting, Dehydration"
what is peyronie's disease?,"Peyronie's disease is a condition in which fibrous scar tissue develops inside the penis, causing curved, painful erections."
what are the treatments for varicose veins?,"Compression stockings, Sclerotherapy, Laser treatment, Endovenous ablation therapy, Surgery"
what are the symptoms of typhoid fever?,"Fever, Headache, Abdominal pain, Loss of appetite, Fatigue, Diarrhea or constipation, Rash"
what are the treatments for peyronie's disease?,"Medications like collagenase clostridium histolyticum to break down the scar tissue, Injections of verapamil or interferon to reduce the size of the plaque, Surgery, such as plication or grafting, to straighten the penis, Penile implants, in severe cases"
what is trachoma?,"Trachoma is a bacterial infection of the eyes caused by the Chlamydia trachomatis bacterium. It is usually transmitted through contact with contaminated hands, clothing, or flies."
what are the treatments for arthritis?,"Pain medication, Anti-inflammatory drugs, Physical therapy, Joint replacement surgery"
what are the treatments for otitis media?,"Watchful waiting, Antibiotics, Pain relievers, Surgery"
what are the symptoms of leptospirosis?,"Fever, Headache, Muscle aches, Vomiting, Jaundice, Red eyes, Abdominal pain, Diarrhea, Rash, Chills"
what are the symptoms of kawasaki disease?,"Fever, Red eyes, Rash, Swollen lymph nodes, Swollen hands and feet, Strawberry tongue"
what are the treatments for rubella?,"Symptomatic treatment, Prevention through vaccination"
what are the symptoms of influenza?,"Fever, Cough, Sore throat, Runny or stuffy nose, Body aches, Headache, Fatigue"
what are the treatments for menopause?,"Hormone therapy, Low-dose antidepressants, Gabapentin, Clonidine, Vaginal estrogen, Vaginal moisturizers and lubricants"
what are the treatments for erysipelas?,"Antibiotics, such as penicillin or erythromycin, Pain relievers, such as acetaminophen or ibuprofen, Elevating the affected limb to reduce swelling, Resting and staying hydrated"
what are the symptoms of aids?,"Fever, Fatigue, Swollen lymph nodes, Rapid weight loss, Frequent infections, Skin rashes, Night sweats, Chronic diarrhea, Persistent cough, Memory loss, Depression, Neurological disorders"
what are the treatments for restless legs syndrome (rls)?,"Medications such as dopamine agonists and opioids, Lifestyle changes such as regular exercise and good sleep habits"
what are the symptoms of onchocerciasis?,"Skin rash, Itching, Eye lesions, Visual impairment"
what are the symptoms of chlamydia?,"Painful urination, Abnormal vaginal discharge, Pain during sex"
what are the symptoms of autoimmune disorders?,"Fatigue, Joint pain and swelling, Skin problems, Abdominal pain, Digestive problems, Fever, Swollen glands, Muscle pain"
what are the symptoms of otitis media?,"Ear pain, Fever, Drainage from the ear, Difficulty hearing, Irritability"
what are the treatments for dental caries?,"Fillings to repair cavities, Crowns to cover damaged teeth, Root canal therapy to treat infections, Tooth extraction in severe cases"
what are the symptoms of anxiety disorders?,"Excessive worrying, Feeling restless or on edge, Irritability, Difficulty concentrating, Muscle tension, Sleep problems, Panic attacks"
what are the treatments for hernia?,"Watchful waiting, Hernia truss, Surgery"
what are the treatments for anxiety disorders?,"Therapy to learn coping strategies, Medications to manage symptoms, Lifestyle changes to promote relaxation and stress management"
what are the treatments for systemic lupus erythematosus?,"Nonsteroidal anti-inflammatory drugs (NSAIDs), Antimalarial drugs, Corticosteroids, Immunosuppressants, Biologics"
what is paratyphoid fever?,Paratyphoid fever is a bacterial infection caused by Salmonella Paratyphi bacteria. It is usually contracted by consuming contaminated food or water.
what are the symptoms of primary biliary cirrhosis?,"Fatigue, Itching, Dry eyes and mouth, Enlarged liver or spleen, Jaundice, Osteoporosis"
what are the treatments for hemophilia?,"Replacement therapy with clotting factors, Desmopressin to increase the levels of clotting factors, Gene therapy"
what is restless legs syndrome (rls)?,"Restless legs syndrome is a condition that causes an uncontrollable urge to move the legs, often accompanied by uncomfortable sensations in the legs such as tingling, itching, or crawling."
what are the symptoms of menopause?,"Irregular periods, Hot flashes, Night sweats, Sleep problems, Mood changes, Weight gain and slowed metabolism, Thinning hair and dry skin, Loss of breast fullness, Vaginal dryness, Decreased sex drive, Pain during sex, Urinary incontinence, Increased urination or urgency"
what are the treatments for heart attack?,"Aspirin, Thrombolytics (clot-busting drugs), Antiplatelet drugs, Coronary angioplasty and stenting, Coronary artery bypass surgery"
what are the symptoms of anal fissure?,"Pain during bowel movements, Bleeding from the anus, Itching or burning around the anus"
what are the symptoms of leprosy?,"Skin lesions, Numbness or lack of sensation, Muscle weakness, Eye problems, Nosebleeds"
what are the treatments for filariasis?,"Antiparasitic medication, such as diethylcarbamazine, Symptomatic treatment, such as pain relievers or antibiotics to treat secondary infections, Preventive measures, such as mosquito control measures and the use of bed nets"
what are the symptoms of blood clotting disorders?,"Abnormal bleeding, Bruising, Blood in urine or stool, Swelling, Pain, Redness, Warmth in the affected area"
what are the symptoms of peripheral arterial disease?,"Leg pain, Numbness or weakness in legs, Coldness in lower leg or foot, Sores on toes, feet or legs that won't heal, Change in color of legs"
what are the symptoms of hypothyroidism?,"Fatigue, Weight gain, Cold intolerance, Dry skin, Hair loss, Constipation, Depression, Muscle weakness, Joint pain"
what are the symptoms of peptic ulcer disease?,"Abdominal pain, Bloating, Nausea, Vomiting, Loss of appetite"
what are the treatments for aortic stenosis?,"Medications to manage symptoms, Balloon valvuloplasty to open the narrowed valve, Surgical valve replacement"
what are the symptoms of cytomegalovirus infection?,"Fever, Fatigue, Sore throat, Swollen glands, Muscle aches, Loss of appetite, Jaundice, Pneumonia, Encephalitis"
what are the treatments for cholera?,"Rehydration therapy, Antibiotics, Zinc supplements"
what is cholera?,An acute diarrheal illness caused by the bacterium Vibrio cholerae.
what are the symptoms of sars (severe acute respiratory syndrome)?,"Fever, Chills, Dry cough, Shortness of breath, Muscle aches, Headache, Sore throat, Malaise"
what are the treatments for respiratory syncytial virus infection?,"Supportive care, Antiviral medication"
what are the symptoms of esophageal cancer?,"Difficulty swallowing, Unintentional weight loss, Chest pain or discomfort, Heartburn or indigestion, Chronic cough"
what are the treatments for campylobacteriosis?,"Fluids, Antibiotics, Rest"
what are the symptoms of infectious mononucleosis?,"Fatigue, Fever, Sore throat, Swollen lymph nodes, Headache, Muscle aches, Rash"
what are the treatments for scoliosis?,"Bracing, Physical therapy, Surgery"
what is gastroesophageal reflux disease?,"Gastroesophageal reflux disease (GERD) is a chronic condition in which acid reflux occurs more than twice a week, causing inflammation and irritation of the esophagus."
what are the symptoms of japanese encephalitis?,"Fever, Headache, Vomiting, Seizures, Stiff neck, Muscle weakness, Confusion"
what are the symptoms of pneumococcal disease?,"Fever, Cough, Chest pain, Shortness of breath, Stiff neck, Headache"
what are the symptoms of varicella (chickenpox)?,"Fever, Headache, Tiredness, Rash, Itching"
what are the treatments for chronic bronchitis?,"Bronchodilators, Corticosteroids, Oxygen therapy in severe cases"
what is kawasaki disease?,Kawasaki disease is an illness that primarily affects children and can cause inflammation in the blood vessels throughout the body.
what are the symptoms of glomerulonephritis?,"Blood in the urine, Foamy urine, Swelling in the face, hands, or feet, High blood pressure"
what are the symptoms of enterovirus infection?,"Fever, Headache, Muscle aches, Fatigue, Rash, Sore throat, Runny nose, Cough, Diarrhea, Vomiting, Meningitis, Encephalitis"
what are the symptoms of japanese encephalitis?,"Fever, Headache, Vomiting, Seizures, Stiff neck, Muscle weakness, Confusion"
what are the symptoms of obsessive-compulsive disorder (ocd)?,"Obsessions, Compulsions, Fear of contamination, Aggressive impulses, Symmetry and orderliness, Excessive doubt, Hoarding, Trichotillomania, Skin picking"
what are the treatments for cystic fibrosis?,"Airway clearance techniques, Inhaled medications, Oral pancreatic enzyme supplements, Antibiotics, Nutrition therapy"
what are the treatments for renal failure?,"Dialysis to filter blood, Kidney transplant, Medications to control underlying causes, Dietary changes to manage electrolyte and fluid levels"
what are the treatments for ophthalmia neonatorum?,"Antibiotic eye drops or ointment, Preventive measures (e.g. screening and treating pregnant women for STIs)"
what are the treatments for ulcerative colitis?,"Anti-inflammatory medications, Immunosuppressive medications, Biologic therapy, Surgery"
what are the treatments for osteoarthritis?,"Over-the-counter pain relievers such as acetaminophen or nonsteroidal anti-inflammatory drugs (NSAIDs), Prescription medications such as COX-2 inhibitors or corticosteroids, Physical therapy or occupational therapy, Assistive devices such as braces or canes, Lifestyle changes such as losing weight, getting regular exercise, and avoiding activities that exacerbate symptoms"
what are the treatments for muscular dystrophy?,"Physical therapy, Respiratory therapy, Orthopedic devices (e.g., braces, wheelchairs), Medications to improve muscle strength or delay progression of the disease"
what are the symptoms of urinary tract infection (uti)?,"Burning sensation during urination, Frequent urge to urinate, Passing small amounts of urine, Cloudy urine, Strong-smelling urine, Pelvic pain"
what are the treatments for herpes zoster?,"Antiviral medication, Pain relievers, Topical creams or gels, Cool, wet compresses, Rest"
what is prostate cancer?,"Prostate cancer is a type of cancer that develops in the prostate, a gland in the male reproductive system. It usually grows slowly and initially remains confined to the prostate gland, where it may not cause serious harm. However, in some cases, it can spread to other parts of the body and become more aggressive."
what is influenza?,"Influenza, or the flu, is a viral infection that affects the respiratory system. It can cause fever, cough, body aches, and other symptoms, and can be serious in people with weakened immune systems or other health conditions."
what are the treatments for macular degeneration?,"Anti-VEGF therapy, Photodynamic therapy, Laser therapy, Vitamin supplements, Low vision aids"
what are the symptoms of mycobacterium avium complex infection?,"Fever, Fatigue, Weight loss, Night sweats, Diarrhea, Abdominal pain, Persistent cough, Shortness of breath"
what are the treatments for renal failure?,"Dialysis to filter blood, Kidney transplant, Medications to control underlying causes, Dietary changes to manage electrolyte and fluid levels"
what are the symptoms of leukemia?,"Fatigue, Fever, Night sweats, Easy bruising or bleeding, Bone pain, Enlarged lymph nodes, Shortness of breath, Pale skin, Frequent infections, Weight loss, Headaches, Dizziness, Confusion, Seizures"
what are the treatments for autoimmune disorders?,"Anti-inflammatory medications, Immunosuppressant drugs, Corticosteroids, Physical therapy, Surgery (in severe cases)"
what are the treatments for rift valley fever?,"Symptomatic treatment, Fluid and electrolyte replacement, Supportive care"
what are the treatments for anxiety disorders?,"Therapy to learn coping strategies, Medications to manage symptoms, Lifestyle changes to promote relaxation and stress management"
what are the symptoms of ischemic heart disease?,"Chest pain or discomfort, Shortness of breath, Fatigue, Nausea"
what are the symptoms of monkeypox?,"Fever, Headache, Muscle aches, Backache, Swollen lymph nodes, Chills, Exhaustion, Rash"
what are the treatments for sickle cell disease?,"Pain medications, Hydroxyurea to reduce the frequency of painful episodes, Blood transfusions"
what is glaucoma?,Damage to the optic nerve that can lead to vision loss
what are the symptoms of avian influenza?,"Fever, Cough, Sore throat, Muscle aches, Fatigue, Headache, Difficulty breathing, Pneumonia, Acute respiratory distress syndrome, Multi-organ failure"
what are the treatments for gastroesophageal reflux disease?,"Antacids, Proton pump inhibitors, H2 blockers, Lifestyle changes (e.g., weight loss, avoiding trigger foods)"
what are the symptoms of pneumonia?,"Cough (with phlegm or without), Fever, Chills, Shortness of breath, Rapid breathing, Chest pain, Fatigue, Muscle aches, Nausea or vomiting"
what are the symptoms of muscular dystrophy?,"Muscle weakness, Frequent falls, Difficulty walking, Muscle stiffness or rigidity, Difficulty breathing"
what are the symptoms of colitis?,"Abdominal pain and cramping, Diarrhea or constipation, Rectal bleeding, Urgent bowel movements, Fever and fatigue"
